1;2;3;4;5;6;7;8;9;10;
NITGNR;FILTER NR;X COORD;Y COORD;SURFACE LEV (m-ref);TOP FILTER (m-ref);BOTTOM FILTER (m-ref);MEAS POINT LEV (m-ref);SED SUMP LENGTH (m);START DATE 
B16B0114;1;21-07-2004 08:00;-0,96622
B16B0114;1;22-07-2004 08:00; -0,9775
B16B0114;1;23-07-2004 08:00;-0,98061
B16B0114;1;24-07-2004 08:00;-0,99983
B16B0114;1;25-07-2004 08:00; -1,0017
B16B0114;1;26-07-2004 08:00;-0,99703
B16B0114;1;27-07-2004 08:00; -1,0137
B16B0114;1;28-07-2004 08:00; -1,0155
B16B0114;1;29-07-2004 08:00; -1,0207
B16B0114;1;30-07-2004 08:00; -1,0276
B16B0114;1;31-07-2004 08:00; -1,0301
B16B0114;1;01-08-2004 08:00; -1,0443
B16B0114;1;02-08-2004 08:00; -1,0564
B16B0114;1;03-08-2004 08:00; -1,0581
B16B0114;1;04-08-2004 08:00; -1,0724
B16B0114;1;05-08-2004 08:00; -1,0753
B16B0114;1;06-08-2004 08:00; -1,0624
B16B0114;1;07-08-2004 08:00; -1,0638
B16B0114;1;08-08-2004 08:00; -1,0665
B16B0114;1;09-08-2004 08:00; -1,0705
B16B0114;1;10-08-2004 08:00; -1,0766
B16B0114;1;11-08-2004 08:00; -1,0785
B16B0114;1;12-08-2004 08:00;  -1,035
B16B0114;1;13-08-2004 08:00;-0,90935
B16B0114;1;14-08-2004 08:00;-0,92429
