Format;HydroMonitor - open data exchange format;;;;;;;;;;;
Format Version;1.0;;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;;
Format Type;CSV;;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;;
Object Type;SurfaceWaterLevelGauge;;;;;;;;;;;
Object ID Fields;NITGCode;;;;;;;;;;;
;;;;;;;;;;;;
Name;NITGCode;OLGACode;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;GaugeTopLevel;GaugeBottomLevel;LoggerSerial;LoggerDepth;Comment;CommentBy
[String];[String];[String];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[String];[-m+welltop];[String];[String]
LocalName1;P520089;;15-6-1970 0:00;187930;378630;30,37;30,76;20;;;;
LocalName2;P520151;;15-6-1970 0:00;189790;382110;30,16;30,74;22,74;;;;
LocalName3;P520156;;15-6-1970 0:00;187360;377180;27,86;28,09;10,09;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,74;29,24;;;;
LocalName4;P520281;;1-6-2003 0:00;189440;383320;30,78;30,72;27,21;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,71;27,21;;;;
;;;;;;;;;;;;
NITGCode;DateTime;Level;;;;;;;;;;
[String];[dd-mm-yyyy HH:MM];[m+ref];;;;;;;;;;
P520089;29-12-1969 1:00;28,13;;;;;;;;;;
P520089;14-1-1970 1:00;28,29;;;;;;;;;;
P520089;13-2-1970 1:00;28,43;;;;;;;;;;
P520089;27-2-1970 1:00;28,9;;;;;;;;;;
P520089;14-4-1970 1:00;28,38;;;;;;;;;;
P520089;28-4-1970 1:00;28,55;;;;;;;;;;
P520089;14-5-1970 1:00;28,21;;;;;;;;;;
P520089;14-8-1970 1:00;28;;;;;;;;;;
P520089;28-8-1970 1:00;27,88;;;;;;;;;;
P520089;14-9-1970 1:00;27,92;;;;;;;;;;
P520089;28-9-1970 1:00;28,12;;;;;;;;;;
P520089;14-12-1970 1:00;28,35;;;;;;;;;;
P520089;28-2-1971 1:00;28,23;;;;;;;;;;
P520089;28-4-1971 1:00;28,16;;;;;;;;;;
P520089;27-8-1971 1:00;27,83;;;;;;;;;;
P520089;14-10-1971 1:00;27,81;;;;;;;;;;
P520089;14-12-1971 1:00;28,03;;;;;;;;;;
P520089;28-4-1972 1:00;28,21;;;;;;;;;;
P520089;28-8-1972 1:00;28,26;;;;;;;;;;
P520089;13-10-1972 1:00;28,02;;;;;;;;;;
P520089;14-12-1972 1:00;28,11;;;;;;;;;;
P520089;27-4-1973 1:00;28,27;;;;;;;;;;
P520089;28-8-1973 1:00;27,81;;;;;;;;;;
P520089;15-10-1973 1:00;28,11;;;;;;;;;;
P520089;14-12-1973 1:00;28,34;;;;;;;;;;
P520151;21-7-1970 1:00;29,72;;;;;;;;;;
P520151;26-8-1970 1:00;29,6;;;;;;;;;;
P520151;14-10-1970 1:00;29,72;;;;;;;;;;
P520151;14-12-1970 1:00;29,96;;;;;;;;;;
P520151;28-4-1971 1:00;29,84;;;;;;;;;;
P520151;27-8-1971 1:00;29,62;;;;;;;;;;
P520151;14-10-1971 1:00;29,46;;;;;;;;;;
P520151;15-12-1971 1:00;29,78;;;;;;;;;;
P520151;30-4-1972 1:00;29,89;;;;;;;;;;
P520151;28-8-1972 1:00;29,9;;;;;;;;;;
P520151;17-10-1972 1:00;29,69;;;;;;;;;;
P520151;15-12-1972 1:00;29,89;;;;;;;;;;
P520151;11-5-1973 1:00;29,95;;;;;;;;;;
P520151;28-8-1973 1:00;29,39;;;;;;;;;;
P520151;15-10-1973 1:00;29,51;;;;;;;;;;
P520151;15-12-1973 1:00;29,93;;;;;;;;;;
P520151;29-4-1974 1:00;29,82;;;;;;;;;;
P520151;27-8-1974 1:00;29,64;;;;;;;;;;
P520151;14-10-1974 1:00;29,85;;;;;;;;;;
P520151;15-12-1974 1:00;30,12;;;;;;;;;;
P520151;28-8-1975 1:00;29,55;;;;;;;;;;
P520151;14-10-1975 1:00;29,58;;;;;;;;;;
P520151;15-12-1975 1:00;29,74;;;;;;;;;;
P520151;28-4-1976 1:00;29,76;;;;;;;;;;
P520151;29-8-1976 1:00;29,93;;;;;;;;;;
P520151;14-10-1976 1:00;29,53;;;;;;;;;;
P520151;14-12-1976 1:00;29,84;;;;;;;;;;
P520151;28-4-1977 1:00;29,89;;;;;;;;;;
P520151;29-8-1977 1:00;29,91;;;;;;;;;;
P520151;14-10-1977 1:00;29,75;;;;;;;;;;
P520151;16-12-1977 1:00;29,97;;;;;;;;;;
P520151;30-4-1978 1:00;29,91;;;;;;;;;;
P520151;28-8-1978 1:00;29,61;;;;;;;;;;
P520151;13-10-1978 1:00;29,66;;;;;;;;;;
P520151;18-12-1978 1:00;29,8;;;;;;;;;;
P520151;27-4-1979 1:00;29,86;;;;;;;;;;
P520151;28-8-1979 1:00;29,59;;;;;;;;;;
P520151;15-10-1979 1:00;29,58;;;;;;;;;;
P520151;15-12-1979 1:00;29,91;;;;;;;;;;
P520151;28-8-1980 1:00;29,71;;;;;;;;;;
P520151;16-10-1980 1:00;29,74;;;;;;;;;;
P520151;20-12-1980 1:00;29,77;;;;;;;;;;
P520151;28-4-1981 1:00;29,62;;;;;;;;;;
P520151;6-9-1981 1:00;29,59;;;;;;;;;;
P520151;22-10-1981 1:00;29,75;;;;;;;;;;
P520151;15-12-1981 1:00;29,84;;;;;;;;;;
P520151;29-4-1982 1:00;29,69;;;;;;;;;;
P520151;3-9-1982 1:00;29,54;;;;;;;;;;
P520151;18-10-1982 1:00;29,69;;;;;;;;;;
P520151;14-12-1982 1:00;29,78;;;;;;;;;;
P520151;28-4-1983 1:00;29,76;;;;;;;;;;
P520151;29-8-1983 1:00;29,69;;;;;;;;;;
P520151;18-10-1983 1:00;29,62;;;;;;;;;;
P520151;14-12-1983 1:00;29,68;;;;;;;;;;
P520151;28-4-1984 1:00;29,7;;;;;;;;;;
P520151;28-8-1984 1:00;29,65;;;;;;;;;;
P520151;15-10-1984 1:00;29,93;;;;;;;;;;
P520151;15-12-1984 1:00;29,82;;;;;;;;;;
P520151;28-4-1985 1:00;29,86;;;;;;;;;;
P520151;28-8-1985 1:00;29,75;;;;;;;;;;
P520151;16-10-1985 1:00;29,7;;;;;;;;;;
P520151;16-12-1985 1:00;29,79;;;;;;;;;;
